mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
MB,262,,RYDE Racine,50006,Racine,WI,DO,5861.45508982036,978863,167,302,NA
MB,263,,Berkshire Regional Transit Authority,10007,Pittsfield,MA,PT,5855.9671052631575,890107,152,383,NA
MB,264,5,Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,DO,5833.848341871124,43275487,7418,294,4
MB,265,,City of Charlotte North Carolina,40008,Charlotte,NC,PT,5817.982651796779,9390224,1614,372,NA
MB,266,,Lehigh and Northampton Transportation Authority,30010,Allentown,PA,DO,5772.173967459325,4611967,799,207,NA
MB,267,,Ohio Valley Regional Transportation Authority,30035,Wheeling,WV,DO,5756.285714285715,765586,133,188,NA
MB,268,,Metro / Access,50012,Cincinnati,OH,DO,5745.355947535052,12702982,2211,348,NA
MB,269,,NFTA - Metro Bus & Rail,20004,Buffalo,NY,DO,5743.212183436002,8390833,1461,371,NA
MB,270,,Chattanooga Area Regional Transportation Authority,40001,Chattanooga,TN,DO,5721.4303405572755,1848022,323,336,NA
MB,271,,Pinellas Suncoast Transit Authority,40027,Saint Petersburg,FL,PT,5650.476190476191,474640,84,171,NA
MB,272,,"City of Jackson, MS",40015,Jackson,MS,PT,5649.357723577235,694871,123,310,NA
MB,273,,Fresno Area Express,90027,Fresno,CA,DO,5643.343478260869,5191876,920,293,NA
MB,274,,Sioux Area Metro,80002,Sioux Falls,SD,DO,5426.154639175258,526337,97,338,NA
MB,275,,City of Rome,40058,Rome,GA,DO,5411.92,270596,50,426,NA
MB,276,,Big Blue Bus,90008,Santa Monica,CA,DO,5410.422413793103,4393263,812,304,NA
MB,277,,City of Loveland Transit,80025,Loveland,CO,DO,5285.0298507462685,354097,67,384,NA
MB,278,,Rock Island County Metropolitan Mass Transit District,50057,Moline,IL,DO,5264.0224719101125,2342490,445,353,NA
MB,279,,Sun Tran,90033,Tucson,AZ,PT,5199.023492063492,8188462,1575,376,NA
MB,280,,Cooperative Alliance for Seacoast Transportation,10086,Dover,NH,DO,5170.959349593496,636028,123,347,NA
MB,281,,Riverside Transit Agency,90031,Riverside,CA,DO,5105.717611336032,5044449,988,287,NA
MB,282,,New Orleans Regional Transit Authority,60032,New Orleans,LA,DO,5073.365217391304,6417807,1265,317,NA
MB,283,,"Palm Tran, Inc.",40037,West Palm Beach,FL,DO,5014.29433497537,8143214,1624,199,NA
MB,284,,City and County of Honolulu,90002,Honolulu,HI,PT,4951.003854492893,20551617,4151,367,NA
MB,285,,Waukesha Metro Transit,50096,Waukesha,WI,PT,4929.3,49293,10,373,NA
MB,286,,City of Harrisonburg,30094,Harrisonburg,VA,DO,4821.857142857143,573801,119,369,NA
MB,287,,Manatee County Area Transit,40026,Sarasota,FL,DO,4796.716923076923,1558933,325,364,NA
MB,288,,Greater Dayton Regional Transit Authority,50017,Dayton,OH,DO,4794.508953817153,5086974,1061,331,NA
MB,289,,Brazos Transit District,60059,Bryan,TX,DO,4758.219512195122,975435,205,101,NA
MB,290,,METRO,10016,Portland,ME,DO,4699.48220064725,1452140,309,246,NA
MB,291,,Long Beach Transit,90023,Long Beach,CA,DO,4626.3071334214,7004229,1514,362,NA
MB,292,,Municipality of Anchorage,00012,Anchorage,AK,DO,4602.005649717514,2443665,531,328,NA
MB,293,,Valley Metro,90136,Phoenix,AZ,PT,4577.996195307546,14439000,3154,332,NA
MB,294,,The Hop,60091,Belton,TX,DO,4514.913793103448,523730,116,403,NA
MB,295,,Winston-Salem Transit Authority,40012,Winston Salem,NC,DO,4496.518867924528,1906524,424,318,NA
MB,296,,Delaware Transit Corporation,30075,Dover,DE,DO,4495.701059676519,8060792,1793,432,NA
MB,297,,University of Michigan Parking and Transportation Services,50158,Ann Arbor,MI,DO,4494.053892215569,1501014,334,395,NA
MB,298,,County of Miami-Dade,40034,Miami,FL,PT,4480.594847775175,1913214,427,361,NA
MB,299,,Jackson Transit Authority,40057,Jackson,TN,DO,4466.190476190476,468950,105,380,NA
MB,300,6,METRO,60008,Houston,TX,DO,4414.86884088663,31270516,7083,330,5
MB,301,,GTrans,90042,Gardena,CA,DO,4367.928057553957,1214284,278,370,NA
MB,302,,Fayetteville Area System of Transit,40009,Fayetteville,NC,DO,4328.3381818181815,1190293,275,366,NA
MB,303,,Jackson Area Transportation Authority,50034,Jackson,MI,DO,4313.153846153846,336426,78,355,NA
MB,304,,VIA,60011,San Antonio,TX,DO,4203.6234913793105,19504813,4640,357,NA
MB,305,,CUE Bus,30058,Fairfax,VA,DO,4193.7663551401865,448733,107,374,NA
MB,306,,Laketran,50117,Painesville,OH,DO,4123.105084745763,1216316,295,295,NA
MB,307,,Suburban Mobility Authority for Regional Transportation,50031,Detroit,MI,DO,4090.4105936722362,11506325,2813,392,NA
MB,308,,OMNI,90029,San Bernardino,CA,DO,4083.446941323346,6541682,1602,411,NA
MB,309,,METRO,60008,Houston,TX,PT,4018.5951634572325,8973523,2233,378,NA
MB,310,,Greater Bridgeport Transit Authority,10050,Bridgeport,CT,DO,3968.168490153173,1813453,457,335,NA
MB,311,,CTTransit,10055,Hartford,CT,DO,3933.5493975903614,4897269,1245,344,NA
MB,312,,San Joaquin RTD,90012,Stockton,CA,DO,3913.008163265306,1917374,490,343,NA
MB,313,,Torrance Transit System,90010,Torrance,CA,DO,3865.7085714285713,1352998,350,393,NA
MB,314,,Hillsborough Area Regional Transit Authority,40041,Tampa,FL,DO,3843.5770053475935,7187489,1870,379,NA
MB,315,,COAST TRANSIT AUTHORITY,40014,Gulfport,MS,DO,3769.675799086758,825559,219,298,NA
MB,316,,Regional Transit Service,20113,Rochester,NY,DO,3764.2285497342446,4957489,1317,105,NA
MB,317,,StarTran,70001,Lincoln,NE,DO,3710.824200913242,1625341,438,352,NA
MB,318,,Sangamon Mass Transit District,50059,Springfield,IL,DO,3703.1632653061224,1814550,490,381,NA
MB,319,,Michiana Area Council of Governments,50149,South Bend,IN,PT,3645.6201117318437,652566,179,291,NA
MB,320,,OmniRide,30070,Woodbridge,VA,PT,3635.345971563981,1534116,422,391,NA
MB,321,7,Metro,90154,Los Angeles,CA,DO,3633.8321499425706,69602421,19154,389,7
MB,322,8,County of Miami-Dade,40034,Miami,FL,DO,3554.149542217701,31443561,8847,396,NA
MB,323,,Milwaukee County Transit System,50008,Milwaukee,WI,PT,3387.909340121402,17302053,5107,409,NA
MB,324,,Mountain Metropolitan Transit,80005,Colorado Springs,CO,PT,3379.304301075269,3142753,930,421,NA
MB,325,,Citibus,60010,Lubbock,TX,DO,3349.833740831296,1370082,409,354,NA
MB,326,,City of Tallahassee,40036,Tallahassee,FL,DO,3328.022033898305,1963533,590,386,NA
MB,327,,Autoridad de Transporte Integrado,40094,San Juan,PR,PT,3201.439790575916,1222950,382,385,NA
MB,328,,Broward County Transit Division,40029,Fort Lauderdale,FL,DO,3167.6006619937693,16268797,5136,398,NA
