Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,County or Local Government Unit or Department of Transportation,Full Reporter,80389,"Seattle--Tacoma, WA","3,544,011","2,029",SR,DO,10,24,,24,,48,,"186,566",,"180,369",,"186,566",,"180,369",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",MB,PT,83,8,,2,,10,,"1,378,470",,"1,154,331",,0,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",FB,PT,8,8,,0,,8,,"194,285",,"189,037",Q,0,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",MB,DO,653,543,,280,,823,,"22,326,092",,"20,031,415",,0,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",CR,PT,416,240,,29,,269,,"24,925,796",,"23,837,624",,"4,680,778",,"4,473,600",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",DR,PT,372,112,,407,,519,,"11,096,737",,"8,723,274",,0,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",RB,DO,37,93,,34,,127,,"1,548,105",,"1,420,562",,0,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",HR,DO,312,519,,21,,540,,"22,704,227",,"22,214,025",,"3,784,038",,"3,702,338",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",TB,DO,13,10,,28,,38,,"276,800",,"272,820",Q,0,,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009","2,018",LR,DO,124,673,,59,,732,,"5,257,234",,"5,252,956",Q,"2,628,950",,"2,626,478",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",SR,DO,92,11,,201,,212,,"2,119,939",,"2,026,697",,"2,119,939",,"2,026,697",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,PT,3,4,,2,,6,,"153,116",,"127,940",,0,,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Public Agency or Authority of Transit Service,Full Reporter,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",TB,DO,29,256,,55,,311,,"717,933",,"701,398",,0,,0,
